budget,genres,original_language,revenue,runtime,vote_average,director
90000000,Adventure Fantasy Action Thriller Science Fiction,en,263920180,126.0,7.3,Luc Besson
100000000,Comedy Drama Romance,en,288347692,146.0,5.4,Michael Patrick King
95000000,Adventure Animation Comedy Family,en,76432727,89.0,7.0,Don Michael Paul
95000000,Animation Comedy Adventure Family,en,877244782,88.0,6.2,Steve Martino
95000000,Romance Fantasy Family Drama,en,543514353,105.0,6.7,Kenneth Branagh
65000000,Fantasy Drama,en,93525586,136.0,6.6,Peter Jackson
94000000,Animation Family,en,940335536,100.0,7.6,Andrew Stanton
94000000,Adventure Fantasy Action,en,1118888979,201.0,8.1,Peter Jackson
79000000,Adventure Fantasy Action,en,926287400,179.0,8.0,Peter Jackson
95000000,Adventure Fantasy,en,114178613,102.0,5.2,Sergei Bodrov
115000000,Adventure Fantasy Action Thriller,en,274703340,100.0,5.7,Simon West
100000000,Thriller Science Fiction Drama Mystery,en,103039258,119.0,5.9,Wally Pfister
93000000,Adventure Action Thriller Science Fiction,en,368780809,92.0,5.7,Joe Johnston
93000000,Thriller Action Drama Science Fiction,en,482860185,105.0,7.0,Rupert Wyatt
90000000,Adventure Family Fantasy,en,162839667,95.0,6.3,Mark Waters
92000000,Action Thriller,en,304654182,98.0,5.2,John Moore
145000000,Western History War,en,25819961,137.0,5.8,John Lee Hancock
92000000,Action Adventure Animation Family,en,631442092,115.0,7.4,Brad Bird
98000000,Action Adventure,en,10017322,119.0,5.7,Renny Harlin
95000000,Adventure Fantasy Family,en,226497209,118.0,6.0,Chris Columbus
90000000,Action Adventure Comedy Science Fiction,en,589390539,98.0,6.9,Barry Sonnenfeld
90000000,Animation Comedy Family,en,497366869,92.0,7.3,John Lasseter
100000000,Action Thriller,en,167805466,98.0,6.3,Tony Scott
90000000,Action Comedy Crime Thriller,en,347325802,90.0,6.4,Brett Ratner
100000000,Drama Horror Mystery Thriller,en,155464351,130.0,6.3,Robert Zemeckis
100000000,Animation Comedy Family,en,242988466,90.0,6.5,Phil Lord
90000000,Animation Comedy Family Adventure,en,886686817,94.0,6.5,Carlos Saldanha
90000000,Adventure Comedy Drama Fantasy,en,188133322,114.0,7.0,Ben Stiller
92000000,Action Adventure Comedy Crime Thriller,en,264105545,98.0,5.6,McG
90000000,Drama Thriller Crime,en,289847354,151.0,7.9,Martin Scorsese
90000000,Animation Family Adventure,en,304320254,88.0,7.6,Tony Bancroft
92000000,Action Comedy,en,188072649,107.0,6.5,Ben Stiller
90000000,Thriller Crime Mystery Drama,en,232617430,158.0,7.2,David Fincher
90000000,Action Thriller,en,366101666,128.0,6.9,John McTiernan
90000000,Action Adventure Crime Mystery,en,524028679,128.0,7.0,Guy Ritchie
100000000,Drama,en,94061311,125.0,5.3,Timur Bekmambetov
