budget,genres,original_language,revenue,runtime,vote_count,director,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Movie,Music,Mystery,Romance,Science,TV,Thriller,War,Western,succes_critique
16800000,Drama Mystery Romance,en,2281089,122.0,73,Steven Shainberg,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0.0
15000000,Crime Drama,en,43848069,126.0,546,Oliver Stone,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
16500000,Drama Romance,en,135000000,136.0,352,Ang Lee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
16500000,Drama Romance,en,37311672,120.0,317,Julian Jarrold,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
16500000,Comedy,en,13620075,108.0,236,Joe Nussbaum,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
16500000,Drama,en,16942795,126.0,199,Vadim Perelman,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
16400000,Drama,en,235860116,129.0,2705,Peter Weir,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
16000000,Comedy,en,247275374,107.0,1859,Bobby Farrelly,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
16000000,Comedy Romance Drama,en,92823546,96.0,950,Rob Reiner,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
16000000,Drama,en,53977250,129.0,131,Sidney Lumet,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
16000000,Comedy Adventure,en,119754278,93.0,542,Todd Phillips,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
0,Comedy Drama Romance,en,0,106.0,122,Brian Robbins,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
15000000,Drama Comedy Romance,en,133432856,100.0,1049,Michel Hazanavicius,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
16000000,Horror Thriller Mystery,en,76514050,87.0,365,David S. Goyer,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.0
16000000,Comedy Drama Romance,en,68263166,94.0,1662,Wes Anderson,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
16000000,Horror,en,0,91.0,402,Jonathan Liebesman,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
18500000,Drama,en,6490401,120.0,30,Cyrus Nowrasteh,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
0,Comedy Family,en,0,80.0,78,Perry Andelin Blake,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
19000000,Fantasy Drama War,es,83258226,118.0,3041,Guillermo del Toro,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
0,Action Comedy Family,en,0,94.0,44,John Whitesell,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
16000000,Crime Drama Romance,en,29381649,130.0,55,John Singleton,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
16000000,Thriller Drama Horror,en,40492759,91.0,224,Christian E. Christiansen,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.0
17700000,Mystery Adventure Comedy Romance Drama,en,30987695,91.0,242,Dennie Gordon,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0.0
15000000,Thriller Action Crime Drama,en,30102717,110.0,215,Sheldon Lettich,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
12000000,Crime Action Comedy,en,80573774,121.0,2199,Edgar Wright,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
16000000,Comedy Drama Romance,en,50007546,114.0,96,Diane English,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
15000000,Drama Romance,en,96408652,96.0,1020,Woody Allen,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
